"SCHOOLID","Public","TCSHORT","STRATIO","STIDSTD","Female","LangAtHome","PARED","HOMEPOS","IMMIG","PV1MATH","cycle"
146,1,-1.0911,19.844,4485,0,0,12,-0.16,0,546.3546,3
32,1,-1.0911,12.433,911,1,1,16,0.87,1,520.4938,3
145,1,2.093,17.633,4458,1,1,12,-0.82,1,433.7981,3
127,1,0.7093,3.245,3898,0,1,16,1.48,1,588.4172,3
98,1,-1.0911,16.734,2969,0,1,16,-0.66,1,531.4769,3
55,1,-1.0911,16.209,1610,0,1,12,-0.82,0,409.1837,3
17,1,-1.0911,17.598,462,1,1,12,-0.33,1,524.3885,3
53,1,0.9454,14.606,1535,0,1,14,0.41,1,451.7137,3
107,1,-1.0911,16.929,3275,1,1,14,-0.33,1,497.1257,3
94,1,-1.0911,11.473,2834,0,1,12,2.53,1,522.2075,3
10,1,-0.2817,20.582,277,1,1,16,1.91,1,474.7702,3
71,1,-0.2817,12.056,2106,0,1,16,-2.84,0,390.4892,3
130,1,0.9454,17.04,3993,1,1,12,0.41,1,453.5831,3
91,1,0.1524,14.913,2737,0,1,16,1.48,1,442.2885,3
48,1,0.7093,12.752,1353,0,1,16,1.68,1,393.8386,3
153,0,-1.0911,18.252,4729,1,1,16,1.48,1,453.5831,3
3,1,0.7093,15.16,76,1,1,12,1.48,1,494.9447,3
87,1,-1.0911,5.473,2624,0,1,14,0.02,1,576.6552,3
16,1,0.7093,12.267,437,0,1,12,0.2,1,434.0318,3
81,1,-0.2817,23.033,2433,1,1,14,0.87,1,547.8346,3
121,1,0.4567,13.658,3733,0,1,9,-0.66,1,444.4695,3
161,1,-1.0911,16.796,4947,1,1,16,1.48,1,455.9199,3
51,1,0.7093,17.4,1481,0,1,16,0.41,1,416.0383,3
62,1,-1.0911,14.33,1834,1,1,12,0.02,0,522.9086,3
51,1,0.7093,17.4,1458,1,1,12,0.41,1,546.5104,3
18,1,1.4526,29.152,484,0,1,14,-0.98,1,439.6401,3
145,1,2.093,17.633,4448,0,0,9,-0.66,0,557.805,3
10,1,-0.2817,20.582,270,0,1,16,2.53,1,534.6705,3
21,1,1.1868,19.372,583,0,1,12,-0.16,1,452.7263,3
73,1,-1.0911,24.942,2170,1,1,16,3.77,1,471.7324,3
24,1,-1.0911,13.115,696,0,1,12,0.2,1,476.0165,3
61,1,0.1524,13.515,1791,1,1,16,0.62,1,678.774,3
48,1,0.7093,12.752,1369,0,1,16,0.02,0,463.6314,3
68,1,-1.0911,17.931,2022,1,1,16,0.87,1,554.2218,3
100,1,0.1524,16.063,3030,1,1,16,1.15,1,392.2807,3
72,1,0.4567,17.03,2138,0,1,16,1.48,1,487.9343,3
92,1,-1.0911,17.701,2794,1,0,16,1.15,0,607.7348,3
47,1,0.1524,10.205,1347,1,1,12,-0.98,1,486.9995,3
80,1,0.7093,13.054,2416,0,0,12,-1.14,0,493.3868,3
56,1,-1.0911,11.083,1636,0,1,12,-1.87,1,421.1014,3
52,1,0.7093,18.335,1512,0,1,16,1.48,1,552.1187,3
151,1,-1.0911,12,4677,1,1,12,-0.33,1,426.2424,3
149,1,-1.0911,17.56,4589,1,0,16,0.62,0,438.7833,3
143,1,-1.0911,117.756,4415,0,1,16,1.91,1,603.5286,3
143,1,-1.0911,117.756,4424,1,1,16,3.77,1,557.9607,3
30,1,-1.0911,25.118,876,0,1,12,-1.05,1,354.7359,3
89,1,1.1041,16.195,2702,0,1,16,2.53,1,416.6615,3
13,1,-1.0911,16.654,346,0,1,16,2.53,1,508.8098,3
144,1,-1.0911,9.512,4443,1,1,16,0.87,1,422.114,3
123,1,-0.1516,12.874,3804,0,1,16,0.62,1,570.4237,3
97,1,-1.0911,15.951,2927,1,1,14,-0.16,1,409.8068,3
64,1,-1.0911,8.64,1886,1,1,16,-0.98,1,374.1315,3
26,1,0.9454,18.463,709,0,0,14,0.41,0,451.9473,3
91,1,0.1524,14.913,2735,0,1,16,0.41,1,518.3128,3
21,1,1.1868,19.372,569,0,1,12,0.02,0,529.8411,3
48,1,0.7093,12.752,1380,1,0,12,-1.3,0,427.5666,3
149,1,-1.0911,17.56,4586,0,0,12,-1.46,0,426.3203,3
50,1,-1.0911,17.827,1426,0,1,12,0.62,1,392.7481,3
112,0,-0.2817,5.2574,3448,1,1,16,0.2,1,534.5147,3
83,1,0.1524,13.318,2495,1,1,12,0.41,1,562.6344,3
34,1,-1.0911,11.412,974,1,1,9,-0.66,1,310.6481,3
20,1,-1.0911,18.682,550,1,0,9,0.41,0,516.2876,3
34,1,-1.0911,11.412,970,1,1,16,-0.16,1,512.0813,3
44,1,-1.0911,22.906,1242,0,1,12,1.15,1,506.2393,3
134,1,-1.0911,15.915,4112,0,0,6,-1.14,0,446.5727,3
75,1,-1.0911,7.949,2242,0,1,16,1.91,1,518.936,3
150,1,-1.0911,16.57,4625,0,1,16,1.91,1,666.9341,3
59,1,3.5961,16.333,1740,0,0,12,-0.9,1,483.8059,3
120,1,-1.0911,21.445,3702,0,1,14,0.02,1,549.0809,3
74,1,-1.0911,16.995,2215,0,1,12,-0.53,1,518.2349,3
1,1,0.1524,19.304,26,1,1,12,-1.46,1,529.8411,3
116,0,1.1868,11.225,3555,1,1,16,1.48,1,667.7909,3
44,1,-1.0911,22.906,1237,0,1,14,-1.46,1,428.1119,3
12,1,0.1524,35.0926,312,1,1,16,0.02,1,547.8346,3
31,1,0.7093,15.884,900,1,0,9,-0.51,0,373.9757,3
161,1,-1.0911,16.796,4951,1,1,16,1.15,1,535.2937,3
152,1,-0.1454,33.9961,4708,1,1,16,1.1,1,416.6615,3
